,player,team,atm_away,atm_home,score_away,score_home,atm_total,score_total
310,Childress,ATL,236,261,187,208,497,395
311,Childress,PHX,34,27,19,10,61,29
313,Clark,ORL,21,45,12,31,66,43
315,Claxton,ATL,34,26,20,13,60,33
316,Cole,MIA,43,42,34,32,85,66
317,Collins,ATL,30,36,16,21,66,37
319,Collins,LAC,34,34,23,21,68,44
322,Collins,NJN,99,74,43,33,173,76
323,Collins,NYK,73,56,45,30,129,75
325,Collins,UTA,105,87,68,54,192,122
326,Collison,IND,215,181,187,149,396,336
327,Collison,NOH,78,96,66,82,174,148
328,Collison,OKC,198,209,146,145,407,291
329,Collison,SEA,156,210,116,161,366,277
330,Conley,MEM,438,527,332,419,965,751
335,Cook,LAL,36,18,27,14,54,41
336,Cook,MIA,65,75,60,59,140,119
340,Cousins,SAC,373,381,258,266,754,524
341,Crawford,ATL,219,205,193,168,424,361
342,Crawford,GSW,141,151,125,134,292,259
343,Crawford,NYK,340,361,286,308,701,594
344,Crawford,POR,103,79,94,73,182,167
345,Crawford,WAS,148,127,123,102,275,225
347,Crittenton,MEM,34,53,24,34,87,58
348,Crittenton,WAS,44,37,27,21,81,48
349,Croshere,DAL,32,24,26,23,56,49
354,Cunningham,MEM,33,36,21,24,69,45
355,Cunningham,POR,43,54,29,37,97,66
356,Curry,GSW,215,259,194,233,474,427
358,Curry,NYK,431,545,266,336,976,602
361,D. Brown,CLE,73,70,57,50,143,107
362,D. Brown,NOH,43,43,37,32,86,69
367,D. Jones,IND,167,182,128,139,349,267
373,D. Williams,NJN,67,53,55,47,120,102
375,D. Wright,GSW,189,131,149,106,320,255
378,Dalembert,HOU,38,71,32,55,109,87
379,Dalembert,PHI,338,429,243,317,767,560
380,Dalembert,SAC,85,63,64,44,148,108
381,Dampier,DAL,303,319,194,182,622,376
383,Daniels,BOS,69,73,44,52,142,96
384,Daniels,IND,167,177,119,124,344,243
385,Daniels,NOH,29,49,26,38,78,64
387,Daniels,WAS,223,315,178,257,538,435
390,Davis,BOS,403,501,285,357,904,642
393,Davis,GSW,404,459,315,332,863,647
394,Davis,LAC,80,44,58,34,124,92
396,Davis,MIA,99,98,77,78,197,155
397,Davis,MIN,143,133,124,107,276,231
399,Davis,ORL,97,70,66,48,167,114
400,Davis,TOR,137,97,81,61,234,142
403,Daye,DET,99,108,74,89,207,163
404,DeRozan,TOR,463,464,368,375,927,743
405,Delfino,DET,57,36,46,27,93,73
406,Delfino,MIL,109,137,88,106,246,194
407,Delfino,TOR,83,83,58,67,166,125
408,Deng,CHI,867,921,656,725,1788,1381
410,Diaw,CHA,201,217,135,161,418,296
411,Diaw,PHX,118,178,83,126,296,209
413,Diawara,DEN,35,49,22,35,84,57
416,Dickau,LAC,41,41,32,36,82,68
417,Dickau,POR,26,27,19,23,53,42
418,Diener,IND,37,51,33,43,88,76
422,Diogu,IND,76,67,63,54,143,117
423,Diogu,LAC,28,34,18,23,62,41
427,Diop,CHA,27,36,11,6,63,17
428,Diop,DAL,57,105,31,56,162,87
431,Dixon,POR,42,30,36,24,72,60
432,Dixon,TOR,37,26,34,25,63,59
437,Dooling,MIL,55,39,43,35,94,78
438,Dooling,NJN,111,104,90,84,215,174
439,Dooling,ORL,179,176,154,140,355,294
442,Dorsey,TOR,33,32,16,15,65,31
443,Douby,SAC,36,46,34,39,82,73
445,Douglas,NYK,94,113,78,90,207,168
446,Douglas-Roberts,MIL,54,35,47,27,89,74
447,Douglas-Roberts,NJN,121,98,104,80,219,184
449,Dragic,HOU,121,102,93,82,223,175
450,Dragic,PHX,176,176,122,127,352,249
451,Dudley,CHA,83,59,58,44,142,102
452,Dudley,PHX,299,324,225,228,623,453
453,Duhon,CHI,110,81,84,65,191,149
454,Duhon,NYK,122,173,100,139,295,239
456,Duncan,SAS,1367,1396,949,935,2763,1884
457,Dunleavy,GSW,42,59,36,42,101,78
458,Dunleavy,IND,440,489,354,408,929,762
459,Dunleavy,MIL,65,78,56,60,143,116
462,Durant,OKC,1358,1406,1189,1234,2764,2423
463,Durant,SEA,211,237,180,211,448,391
464,Dw. Jones,CLE,30,36,15,17,66,32
470,Ebanks,LAL,15,43,12,29,58,41
471,Ellington,MIN,109,54,85,50,163,135
472,Ellis,GSW,815,1081,627,845,1896,1472
473,Ellis,MIL,42,47,30,38,89,68
476,Elson,SAS,59,65,47,49,124,96
481,Ely,NOH,41,63,27,35,104,62
484,Erden,BOS,34,20,22,12,54,34
486,Evans,ATL,94,74,75,59,168,134
487,Evans,DEN,82,100,44,47,182,91
488,Evans,LAC,29,42,18,18,71,36
489,Evans,LAL,92,77,75,58,169,133
490,Evans,ORL,46,30,28,24,76,52
491,Evans,PHI,244,216,121,121,460,242
492,Evans,SAC,442,542,343,408,984,751
493,Evans,TOR,68,80,38,37,148,75
494,Evans,UTA,25,28,17,17,53,34
500,Faried,DEN,65,91,37,66,156,103
501,Farmar,LAL,138,190,96,127,328,223
502,Farmar,NJN,79,84,68,71,163,139
505,Favors,NJN,48,68,28,43,116,71
506,Favors,UTA,130,114,78,76,244,154
508,Felton,CHA,447,586,352,469,1033,821
509,Felton,DEN,40,44,30,25,84,55
510,Felton,NYK,101,80,89,68,181,157
511,Felton,POR,65,49,57,35,114,92
513,Fernandez,POR,207,201,177,170,408,347
515,Fesenko,UTA,84,63,29,27,147,56
516,Fields,NYK,161,129,108,83,290,191
518,Finley,SAS,154,147,138,120,301,258
519,Fisher,LAL,364,420,313,352,784,665
521,Fisher,UTA,183,169,160,144,352,304
523,Flynn,MIN,159,153,126,129,312,255
525,Forbes,DEN,34,53,26,33,87,59
526,Forbes,TOR,50,41,33,33,91,66
527,Ford,IND,210,254,173,211,464,384
529,Ford,TOR,240,215,201,181,455,382
533,Foster,IND,244,243,150,151,487,301
534,Foye,LAC,117,117,107,99,234,206
535,Foye,MIN,253,274,218,228,527,446
536,Foye,WAS,78,67,70,59,145,129
541,Francis,NYK,116,95,90,85,211,175
544,Frye,NYK,38,70,26,59,108,85
545,Frye,PHX,131,192,105,167,323,272
546,Frye,POR,68,80,46,67,148,113
550,Gadzuric,MIL,123,127,64,59,250,123
554,Gaines,NJN,54,62,27,43,116,70
557,Gallinari,DEN,180,151,154,121,331,275
558,Gallinari,NYK,251,373,223,313,624,536
559,Garbajosa,TOR,15,57,9,43,72,52
561,Garcia,SAC,312,311,263,244,623,507
564,Garnett,BOS,602,674,478,579,1276,1057
565,Garnett,MIN,229,269,199,217,498,416
567,Gasol,LAL,1045,1023,794,825,2068,1619
568,Gasol,MEM,1019,1029,753,755,2048,1508
569,Gay,MEM,939,834,719,648,1773,1367
570,Gee,CLE,168,124,134,97,292,231
572,Gelabale,SEA,53,47,42,38,100,80
573,George,DAL,71,48,54,34,119,88
575,George,IND,127,164,99,131,291,230
576,Gibson,CHI,226,256,144,166,482,310
577,Gibson,CLE,254,303,206,238,557,444
581,Ginobili,SAS,1079,1083,928,941,2162,1869
584,Giricek,UTA,42,60,32,52,102,84
587,Gomes,BOS,138,95,108,81,233,189
588,Gomes,LAC,38,58,29,40,96,69
589,Gomes,MIN,239,297,199,241,536,440
590,Gooden,CHI,73,88,62,74,161,136
591,Gooden,CLE,213,176,153,129,389,282
592,Gooden,DAL,72,43,55,38,115,93
593,Gooden,LAC,50,51,48,45,101,93
594,Gooden,MIL,172,136,142,115,308,257
596,Gooden,SAS,43,21,34,18,64,52
597,Gordon,CHI,595,638,524,558,1233,1082
598,Gordon,DET,265,261,227,224,526,451
599,Gordon,LAC,467,522,361,440,989,801
600,Gordon,NOH,22,42,17,32,64,49
601,Gortat,ORL,78,90,49,60,168,109
602,Gortat,PHX,198,217,137,145,415,282
604,Graham,CHA,29,36,17,25,65,42
606,Graham,DEN,42,36,35,22,78,57
607,Graham,IND,51,27,42,20,78,62
610,Graham,TOR,194,146,161,122,340,283
611,Granger,IND,1100,1232,926,1062,2332,1988
612,Gray,CHI,99,66,50,42,165,92
613,Gray,NOH,35,28,21,17,63,38
615,Green,ATL,23,33,19,29,56,48
616,Green,BOS,112,118,88,95,230,183
621,Green,NJN,23,40,17,30,63,47
622,Green,NOH,51,56,37,45,107,82
623,Green,OKC,397,334,322,250,731,572
624,Green,PHI,231,237,180,166,468,346
626,Green,SAS,46,54,32,47,100,79
627,Green,SEA,117,121,83,94,238,177
630,Greene,SAC,140,153,88,117,293,205
633,Griffin,LAC,511,650,302,388,1161,690
637,Haddadi,MEM,53,51,37,33,104,70
642,Hamilton,DET,682,816,574,706,1498,1280
643,Hansbrough,IND,328,334,267,256,662,523
647,Harden,OKC,527,510,437,429,1037,866
649,Harpring,UTA,300,361,216,279,661,495
652,Harrington,DEN,140,155,99,108,295,207
653,Harrington,GSW,191,180,132,135,371,267
654,Harrington,IND,56,39,42,26,95,68
656,Harrington,NYK,295,291,232,225,586,457
657,Harris,CLE,93,59,71,41,152,112
658,Harris,DAL,212,264,176,214,476,390
661,Harris,MIL,33,21,25,19,54,44
662,Harris,NJN,647,746,533,608,1393,1141
663,Harris,UTA,127,173,100,130,300,230
665,Harrison,IND,46,72,17,43,118,60
667,Hart,LAC,36,19,33,14,55,47
670,Haslem,MIA,413,451,318,337,864,655
672,Hassell,MIN,42,50,35,37,92,72
673,Hassell,NJN,48,54,34,44,102,78
674,Hawes,PHI,67,80,41,48,147,89
675,Hawes,SAC,145,155,101,100,300,201
676,Hayes,DET,30,30,21,24,60,45
677,Hayes,HOU,144,195,83,120,339,203
678,Hayes,NJN,39,31,24,26,70,50
680,Hayes,WAS,53,36,45,30,89,75
683,Hayward,UTA,164,158,132,125,322,257
684,Haywood,DAL,183,240,76,115,423,191
685,Haywood,WAS,346,366,221,245,712,466
686,Head,HOU,93,112,74,89,205,163
687,Head,IND,25,33,18,30,58,48
690,Henderson,CHA,184,230,141,177,414,318
692,Henry,MEM,32,20,18,15,52,33
693,Henry,NOH,53,32,36,16,85,52
694,Herrmann,CHA,38,25,28,22,63,50
696,Hibbert,IND,414,488,291,363,902,654
697,Hickson,CLE,304,308,198,216,612,414
698,Hickson,POR,34,32,21,21,66,42
699,Hickson,SAC,25,33,15,22,58,37
700,Higgins,CHA,14,43,9,32,57,41
701,Hilario,DEN,361,365,253,254,726,507
702,Hill,HOU,77,94,51,65,171,116
703,Hill,IND,61,56,52,39,117,91
706,Hill,ORL,144,213,108,162,357,270
707,Hill,PHX,529,540,437,443,1069,880
708,Hill,SAS,314,411,256,336,725,592
709,Hinrich,ATL,29,25,20,20,54,40
710,Hinrich,CHI,335,355,276,279,690,555
711,Hinrich,WAS,42,63,34,58,105,92
715,Holiday,PHI,219,209,178,163,428,341
717,Hollins,CHA,87,74,50,55,161,105
718,Hollins,CLE,107,111,70,74,218,144
720,Hollins,MIN,86,72,66,43,158,109
722,Horford,ATL,455,547,343,420,1002,763
724,Horry,SAS,51,64,35,39,115,74
725,House,BOS,88,59,76,51,147,127
730,Howard,DAL,313,374,248,300,687,548
731,Howard,HOU,58,135,45,111,193,156
732,Howard,MIA,36,22,31,15,58,46
733,Howard,ORL,2615,2676,1517,1556,5291,3073
734,Howard,POR,30,40,24,31,70,55
735,Howard,UTA,43,53,34,41,96,75
736,Howard,WAS,29,38,18,26,67,44
744,Hughes,CHI,73,87,57,70,160,127
745,Hughes,CLE,254,222,185,157,476,342
746,Hughes,NYK,62,80,47,68,142,115
749,Humphries,NJN,307,304,215,220,611,435
750,Humphries,TOR,143,114,93,74,257,167
755,Hunter,GSW,21,48,12,40,69,52
757,Hunter,PHI,86,65,37,37,151,74
758,I. Johnson,ATL,21,37,17,29,58,46
759,Ibaka,OKC,212,229,152,162,441,314
760,Iguodala,PHI,1254,1340,916,981,2594,1897
761,Ilgauskas,CLE,425,433,322,358,858,680
762,Ilgauskas,MIA,30,22,20,20,52,40
763,Ilyasova,MIL,272,271,218,210,543,428
764,Irving,CLE,100,96,81,90,196,171
765,Iverson,DEN,657,665,506,536,1322,1042
766,Iverson,DET,153,163,121,127,316,248
768,Iverson,PHI,144,147,127,123,291,250
770,Ivey,MIL,53,69,35,53,122,88
772,Ivey,PHI,20,34,18,25,54,43
776,J. Johnson,ATL,223,329,181,282,552,463
777,J. Johnson,TOR,43,70,34,45,113,79
779,J. O'Neal,BOS,33,20,25,13,53,38
781,J. Richardson,ORL,80,72,53,49,152,102
786,J. Williams,CLE,29,28,20,21,57,41
790,Jack,IND,122,141,102,122,263,224
791,Jack,NOH,174,158,154,128,332,282
792,Jack,POR,247,280,214,244,527,458
793,Jack,TOR,143,144,122,121,287,243
794,Jackson,CHA,365,354,291,285,719,576
796,Jackson,GSW,450,538,363,446,988,809
798,Jackson,IND,77,53,63,42,130,105
800,Jackson,MIL,38,22,30,20,60,50
802,Jackson,NOK,77,58,62,46,135,108
804,Jackson,SAC,73,77,54,62,150,116
805,Jackson,SAS,25,29,24,21,54,45
809,Jamal Crawford,ATL,150,110,130,92,260,222
811,James,CLE,1919,1742,1414,1298,3661,2712
813,James,MIA,611,710,468,541,1321,1009
814,James,MIN,83,90,66,79,173,145
818,James,WAS,47,37,42,25,84,67
819,Jamison,CLE,292,337,206,222,629,428
820,Jamison,WAS,723,743,539,547,1466,1086
822,Jaric,MIN,136,111,99,86,247,185
824,Jasikevicius,IND,44,20,41,18,64,59
828,Jefferson,BOS,139,148,97,98,287,195
831,Jefferson,MIL,234,284,187,230,518,417
832,Jefferson,MIN,396,516,293,358,912,651
833,Jefferson,NJN,460,600,350,481,1060,831
834,Jefferson,SAS,291,285,212,216,576,428
835,Jefferson,UTA,230,233,179,177,463,356
837,Jeffries,NYK,218,216,133,119,434,252
839,Jennings,MIL,372,404,299,330,776,629
840,Jerebko,DET,143,157,108,117,300,225
842,Jianlian,NJN,86,95,71,74,181,145
843,Jo. Howard,DAL,193,216,158,174,409,332
846,Johnson,ATL,686,716,550,558,1402,1108
848,Johnson,CHI,48,37,35,24,85,59
852,Johnson,DET,47,63,27,47,110,74
854,Johnson,MEM,52,64,32,44,116,76
855,Johnson,MIA,55,28,37,20,83,57
856,Johnson,MIN,61,65,43,45,126,88
859,Johnson,ORL,58,61,45,44,119,89
863,Johnson,TOR,181,154,134,108,335,242
864,Jones,ATL,106,67,69,56,173,125
867,Jones,DAL,42,27,32,22,69,54
868,Jones,DEN,104,110,82,79,214,161
869,Jones,IND,63,45,52,39,108,91
870,Jones,LAC,36,49,28,41,85,69
871,Jones,MEM,78,60,62,47,138,109
872,Jones,MIA,106,154,85,133,260,218
874,Jones,NYK,74,52,53,41,126,94
876,Jones,PHX,25,51,19,47,76,66
877,Jones,POR,58,64,52,54,122,106
878,Jones,SAC,30,21,18,16,51,34
879,Jones,TOR,50,23,42,18,73,60
880,Jordan,LAC,275,313,121,139,588,260
885,Josh Smith,ATL,219,246,130,160,465,290
887,K. Brown,CHA,126,106,79,57,232,136
892,Kaman,LAC,421,507,323,369,928,692
893,Kaman,NOH,47,60,37,47,107,84
894,Kanter,UTA,51,47,33,32,98,65
896,Kapono,MIA,42,36,39,31,78,70
898,Kapono,TOR,59,28,50,22,87,72
903,Kidd,DAL,204,227,163,192,431,355
904,Kidd,NJN,172,194,123,160,366,283
906,Kinsey,MEM,55,49,43,40,104,83
907,Kirilenko,UTA,686,736,527,555,1422,1082
908,Kleiza,DEN,242,344,179,273,586,452
909,Kleiza,TOR,93,72,66,56,165,122
910,Knight,CHA,71,57,54,49,128,103
911,Knight,DET,62,75,42,62,137,104
912,Knight,LAC,35,36,30,32,71,62
913,Knight,UTA,41,23,32,16,64,48
915,Korver,CHI,75,81,67,69,156,136
916,Korver,PHI,114,129,105,117,243,222
917,Korver,UTA,147,158,121,147,305,268
918,Koufos,DEN,25,47,19,26,72,45
920,Koufos,UTA,32,34,21,24,66,45
921,Krstic,BOS,38,45,29,33,83,62
922,Krstic,NJN,69,121,54,84,190,138
923,Krstic,OKC,125,140,95,110,265,205
930,Landry,HOU,314,315,257,236,629,493
931,Landry,NOH,134,159,106,132,293,238
933,Landry,SAC,188,174,136,128,362,264
936,Law,ATL,79,40,65,32,119,97
939,Law,GSW,28,41,24,29,69,53
941,Lawson,DEN,320,301,249,240,621,489
942,Lee,GSW,247,294,194,230,541,424
943,Lee,HOU,92,114,72,94,206,166
945,Lee,NJN,86,67,78,55,153,133
946,Lee,NYK,552,508,433,413,1060,846
947,Lee,ORL,57,63,50,51,120,101
948,Leonard,SAS,34,54,27,41,88,68
951,Lewis,ORL,464,470,377,388,934,765
952,Lewis,SEA,166,147,140,123,313,263
953,Lewis,WAS,43,45,36,38,88,74
956,Lin,NYK,90,93,72,74,183,146
957,Livingston,CHA,60,65,57,51,125,108
958,Livingston,LAC,48,68,32,50,116,82
960,Livingston,MIL,56,23,45,17,79,62
963,Lopez,NJN,587,655,472,518,1242,990
964,Lopez,PHX,181,256,122,192,437,314
965,Love,MIN,769,802,634,659,1571,1293
966,Lowry,HOU,422,381,332,319,803,651
967,Lowry,MEM,263,274,199,198,537,397
970,Lue,ATL,71,120,61,107,191,168
977,M. Jackson,NOK,27,33,25,27,60,52
980,M. Williams,ATL,322,351,270,276,673,546
981,M. Williams,CLE,318,279,280,244,597,524
983,M. Williams,NJN,29,24,22,21,53,43
984,Mack,WAS,36,23,27,15,59,42
987,Maggette,CHA,82,126,65,113,208,178
988,Maggette,GSW,478,472,392,397,950,789
989,Maggette,LAC,644,668,530,541,1312,1071
990,Maggette,MIL,188,137,156,115,325,271
992,Magloire,MIA,71,66,31,28,137,59
994,Magloire,POR,130,112,66,64,242,130
996,Mahinmi,DAL,100,126,67,86,226,153
997,Mahinmi,SAS,31,29,24,19,60,43
1000,Marbury,NYK,203,299,159,221,502,380
1001,Marion,DAL,213,230,161,185,443,346
1002,Marion,MIA,67,60,51,45,127,96
1003,Marion,PHX,210,175,157,140,385,297
1004,Marion,TOR,26,36,19,31,62,50
1006,Marks,NOH,26,28,17,19,54,36
1009,Marshall,CLE,43,54,30,34,97,64
1014,Martin,DEN,298,442,178,253,740,431
1016,Martin,HOU,502,531,463,462,1033,925
1017,Martin,LAC,28,26,13,7,54,20
1018,Martin,SAC,912,916,792,773,1828,1565
1020,Martin,WAS,31,37,25,22,68,47
1021,Mason,MIL,75,98,49,65,173,114
1022,Mason,NOK,164,158,116,97,322,213
1023,Mason,OKC,33,52,20,26,85,46
1025,Mason,SAS,78,75,72,61,153,133
1026,Mason,WAS,64,37,52,35,101,87
1029,Matthews,POR,217,282,181,243,499,424
1030,Matthews,UTA,99,142,82,117,241,199
1031,Maxiell,DET,488,498,280,276,986,556
1032,May,CHA,58,74,43,57,132,100
1034,Maynor,OKC,61,71,43,55,132,98
1036,Mayo,MEM,455,420,364,350,875,714
1037,Mbah a Moute,MIL,312,323,218,226,635,444
1042,McCants,MIN,140,154,106,110,294,216
1043,McCants,SAC,20,40,15,32,60,47
1045,McDyess,DET,202,237,142,158,439,300
1046,McDyess,SAS,84,58,60,34,142,94
1049,McGee,WAS,310,309,182,189,619,371
1050,McGrady,ATL,38,45,25,31,83,56
1051,McGrady,DET,66,63,42,48,129,90
1052,McGrady,HOU,655,444,477,299,1099,776
1053,McGrady,NYK,30,27,22,21,57,43
1055,McGuire,GSW,31,21,22,16,52,38
1057,McGuire,WAS,75,62,47,39,137,86
1058,McInnis,CHA,44,18,33,12,62,45
1059,McLeod,GSW,31,22,25,22,53,47
1061,McRoberts,IND,81,100,57,69,181,126
1065,Meeks,PHI,147,132,127,120,279,247
1069,Mensah-Bonsu,TOR,30,29,16,22,59,38
1072,Miles,UTA,305,319,248,247,624,495
1073,Milicic,MEM,104,122,54,72,226,126
1074,Milicic,MIN,67,113,32,63,180,95
1075,Milicic,ORL,122,125,72,78,247,150
1076,Miller,CHI,182,185,149,158,367,307
1077,Miller,DEN,134,115,107,87,249,194
1078,Miller,HOU,60,34,49,29,94,78
1079,Miller,MEM,154,249,122,195,403,317
1081,Miller,MIN,53,108,37,82,161,119
1082,Miller,PHI,499,490,395,397,989,792
1083,Miller,POR,380,364,321,296,744,617
1084,Miller,SAC,247,365,202,299,612,501
1085,Miller,WAS,45,40,38,32,85,70
1086,Mills,POR,27,26,22,18,53,40
